Index_number,Object_ID,area,convex_area,eccentricity,mean_intensity,max_intensity,intensity_variance,major_axis_length,minor_axis_length,solidity,convection_area,intense_area,Label,Area_stan,convex_area_stan,eccentricity_stan,mean_intensity_stan,max_intensity_stan,intensity_variance_stan,major_axis_length_stan,minor_axis_length_stan,solidity_stan,convection_area_stan,intense_area_stan,Major_Minor_Ratio
450,mrms20200620r4248,2921,5314,0.557913991,34.16484081,54.5,79.60369023,86.95741123,72.16584916,0.54968009,2921,884,Cluster of Cells,-0.010733807,0.004599319,-1.96157171,0.239620358,-0.367102984,-0.086399571,0.105760478,0.867116333,-1.316159387,-0.010733706,0.41373735,1.204966231
451,mrms20200620r4288,1328,2276,0.978010321,32.16641566,57,108.9489625,106.7576642,22.26500423,0.583479789,1328,355,Cluster of Cells,-0.228084179,-0.223622264,1.141142307,-0.490480553,0.246345423,1.182818459,0.342661032,-0.347430281,-1.02362243,-0.228084001,-0.156808057,4.794863862
452,mrms20200620r4289,432,681,0.914312903,35.13541667,61.5,137.2796947,43.5916095,17.65497402,0.634361233,432,150,Cluster of Cells,-0.350335235,-0.343442351,0.670690988,0.59420873,1.350552556,2.408156426,-0.413090593,-0.459634726,-0.583242679,-0.350335015,-0.377907884,2.469083753
453,mrms20200620r4292,386,501,0.54677995,36.31865285,57,95.36737228,25.82924769,21.62621824,0.770459082,386,140,Isolated Cell,-0.356611517,-0.356964367,-2.043804627,1.026490027,0.246345423,0.595398482,-0.625608755,-0.362977821,0.59468647,-0.356611295,-0.388693241,1.194348795
454,mrms20200620r4296,5156,7697,0.900059953,36.06991854,63,105.0567386,141.2326579,61.54440234,0.669871378,5156,1951,Cluster of Cells,0.294211631,0.183615788,0.565422688,0.935617899,1.7186216,1.014475135,0.75513784,0.608598821,-0.275901782,0.294211624,1.564534986,2.294809155
455,mrms20200620r4308,73,84,0.824644894,33.54109589,51.5,75.97776318,13.01456915,7.361701122,0.869047619,73,19,Isolated Cell,-0.399317523,-0.388290371,0.008428149,0.011742554,-1.103241072,-0.243225241,-0.778930253,-0.710164747,1.447971906,-0.399317285,-0.519196066,1.767875242
457,mrms20200620r4312,91,112,0.904050501,34.04945055,54,90.34096124,16.96354322,7.250653588,0.8125,91,27,Isolated Cell,-0.396861586,-0.386186946,0.594895759,0.197463896,-0.489792665,0.378000209,-0.731682668,-0.712867555,0.958551319,-0.396861349,-0.51056778,2.339588151
458,mrms20200620r4314,43564,70020,0.842548048,30.07518823,57,42.10826533,369.653209,199.1030516,0.622165096,43564,4106,Cluster of Cells,5.534634161,4.865463621,0.140655837,-1.254485679,0.246345423,-1.708121426,3.488080457,3.956666215,-0.688800456,5.534632304,3.888779508,1.856592383
459,mrms20200620r4320,3559,5241,0.635873666,34.77409385,66,111.9472805,88.33529709,68.176578,0.67906888,3559,1054,Cluster of Cells,0.076315495,-0.00088461,-1.385783349,0.462203725,2.454759688,1.312499293,0.122246223,0.770020667,-0.196297253,0.076315565,0.597088426,1.295683938
462,mrms20200620r4328,147,173,0.70949691,35.63945578,59.5,124.2169466,16.80925161,11.84562327,0.849710983,147,52,Isolated Cell,-0.389220895,-0.381604485,-0.842022664,0.778353439,0.85979383,1.843176988,-0.733528693,-0.601029672,1.280612995,-0.389220661,-0.483604386,1.419026355
463,mrms20200620r4332,513,719,0.738884821,32.62768031,51.5,68.20445797,34.33707306,23.13740989,0.71349096,513,111,Cluster of Cells,-0.339283521,-0.340587703,-0.62497177,-0.321962988,-1.103241072,-0.579429964,-0.523816695,-0.326196626,0.101626422,-0.339283305,-0.419970777,1.484049996
464,mrms20200620r4334,948,1363,0.791624732,30.96255274,54.5,77.12438884,49.3183149,30.13386509,0.695524578,948,200,Cluster of Cells,-0.279931725,-0.292208934,-0.235449534,-0.930297584,-0.367102984,-0.193632313,-0.344573303,-0.155908508,-0.05387291,-0.279931529,-0.323981096,1.636640861
466,mrms20200620r4339,165,216,0.725954944,35.87878788,53,55.53682277,19.9723572,13.73583412,0.763888889,165,52,Cluster of Cells,-0.386764959,-0.378374226,-0.720468221,0.86579058,-0.735172028,-1.127320298,-0.695683648,-0.555023453,0.537821341,-0.386764725,-0.483604386,1.454033081
467,mrms20200620r4341,12572,24849,0.407187552,37.25147152,65,108.9518551,187.3119977,171.0803954,0.505935853,12572,5178,Cluster of Cells,1.306057431,1.472113679,-3.074795039,1.36728426,2.209380325,1.182943571,1.306455095,3.274617197,-1.694766495,1.306057066,5.044969822,1.094877045
468,mrms20200620r4343,51,59,0.782835228,38.07843137,54,112.9252211,10.4259227,6.487312112,0.86440678,51,22,Isolated Cell,-0.402319223,-0.390168429,-0.300366355,1.669404227,-0.489792665,1.354796387,-0.809902169,-0.731446676,1.407805363,-0.402318984,-0.515960458,1.607125189
469,mrms20200620r4346,105,118,0.84533602,34.2,51,72.11714286,16.15009753,8.627947024,0.889830508,105,32,Isolated Cell,-0.394951413,-0.385736213,0.16124702,0.252465351,-1.225930753,-0.410201675,-0.741415156,-0.679345336,1.627848161,-0.394951177,-0.505175101,1.8718355
470,mrms20200620r4348,296,359,0.660030261,37.3277027,53,77.47875959,23.03518517,17.30492978,0.824512535,296,131,Isolated Cell,-0.368891199,-0.367631735,-1.207369499,1.395134416,-0.735172028,-0.178305356,-0.659038376,-0.468154522,1.062520008,-0.368890972,-0.398400063,1.331134276
471,mrms20200620r4350,4069,6881,0.851506048,30.08405014,59,65.43210982,118.9482115,62.36987394,0.591338468,4069,631,Cluster of Cells,0.14590036,0.122315982,0.206817123,-1.251248086,0.737104149,-0.699337329,0.488515099,0.628690139,-0.955605431,0.145900405,0.140867808,1.907142086
472,mrms20200620r4351,195,230,0.649375028,40.3974359,58.5,108.9843524,18.95229205,14.41261779,0.847826087,195,96,Isolated Cell,-0.382671731,-0.377322514,-1.286066068,2.516625009,0.614414467,1.184349116,-0.707888239,-0.538551081,1.264299191,-0.3826715,-0.436148814,1.314979161
